2,1
9,1
12,1
18,1
20,1
21,1
24,1
26,1
31,1
36,1
39,1
43,1
44,1
50,1
57,1
61,1
63,1
66,1
75,1
82,1
84,1
93,1
94,1
1,2
4,2
5,2
8,2
13,2
23,2
24,2
31,2
36,2
37,2
65,2
66,2
71,2
82,2
84,2
85,2
88,2
4,3
6,3
7,3
11,3
14,3
16,3
27,3
32,3
33,3
34,3
35,3
36,3
38,3
46,3
54,3
58,3
60,3
68,3
81,3
89,3
91,3
92,3
97,3
98,3
99,3
100,3
2,4
3,4
12,4
15,4
18,4
23,4
25,4
26,4
27,4
57,4
65,4
66,4
71,4
73,4
75,4
79,4
85,4
88,4
93,4
95,4
97,4
2,5
15,5
19,5
21,5
29,5
31,5
36,5
43,5
52,5
61,5
63,5
67,5
71,5
82,5
83,5
90,5
94,5
97,5
3,6
7,6
11,6
16,6
17,6
18,6
22,6
28,6
35,6
38,6
41,6
42,6
49,6
50,6
54,6
57,6
60,6
62,6
68,6
69,6
70,6
74,6
75,6
78,6
81,6
91,6
100,6
3,7
6,7
11,7
14,7
17,7
20,7
26,7
27,7
28,7
30,7
32,7
37,7
39,7
40,7
44,7
45,7
46,7
54,7
58,7
62,7
68,7
75,7
80,7
81,7
86,7
89,7
91,7
93,7
98,7
99,7
2,8
9,8
10,8
13,8
15,8
20,8
21,8
23,8
25,8
37,8
39,8
43,8
50,8
52,8
63,8
67,8
71,8
73,8
75,8
95,8
97,8
1,9
8,9
10,9
13,9
25,9
36,9
52,9
53,9
56,9
57,9
63,9
65,9
67,9
73,9
85,9
87,9
94,9
95,9
8,10
9,10
12,10
18,10
26,10
27,10
29,10
44,10
48,10
52,10
53,10
61,10
64,10
65,10
71,10
75,10
85,10
88,10
3,11
6,11
7,11
14,11
30,11
33,11
34,11
42,11
45,11
47,11
49,11
51,11
54,11
55,11
58,11
66,11
69,11
70,11
74,11
77,11
80,11
81,11
85,11
86,11
100,11
1,12
4,12
10,12
19,12
20,12
25,12
27,12
31,12
36,12
37,12
39,12
43,12
56,12
59,12
61,12
63,12
64,12
66,12
71,12
73,12
79,12
82,12
84,12
87,12
88,12
94,12
95,12
97,12
